RC Engine Sound Simulator Debug Log
----------------------------------
[DBG] Time(ms), RPM, ThrIn, FadThr500, TgtRPM, EngIdleVol%, FullThrVol%, ThrottleMapOut%, BaseIdleScaler%, BaseRevScaler%, RevSwitch, IdleEnd, IdleVolProp%, ThrMapOutRev%, a1Multi%, IdleVol, RevVol
[DBG] 1748589876785, 3, 0.00, 0.0, 800, 0.0, 0.0, 0.0, 0.0, 0.0, 0, 0, 0.0, 0.0, 90.0, 0.000, 0.000
[DBG] 1748589876840, 3, 0.00, 0.0, 800, 0.0, 0.0, 0.0, 0.0, 0.0, 0, 0, 0.0, 0.0, 90.0, 0.000, 0.000
[DBG] 1748589876892, 3, 0.00, 0.0, 800, 0.0, 0.0, 0.0, 0.0, 0.0, 0, 0, 0.0, 0.0, 90.0, 0.000, 0.000
[DBG] 1748589876947, 3, 0.00, 0.0, 800, 0.0, 0.0, 0.0, 0.0, 0.0, 0, 0, 0.0, 0.0, 90.0, 0.000, 0.000
[DBG] 1748589877002, 3, 0.00, 0.0, 800, 0.0, 0.0, 0.0, 0.0, 0.0, 0, 0, 0.0, 0.0, 90.0, 0.000, 0.000
[DBG] 1748589877056, 3, 0.00, 0.0, 800, 0.0, 0.0, 0.0, 0.0, 0.0, 0, 0, 0.0, 0.0, 90.0, 0.000, 0.000
[DBG] 1748589877111, 3, 0.00, 0.0, 800, 0.0, 0.0, 0.0, 0.0, 0.0, 0, 0, 0.0, 0.0, 90.0, 0.000, 0.000
[DBG] 1748589877166, 3, 0.00, 0.0, 800, 0.0, 0.0, 0.0, 0.0, 0.0, 0, 0, 0.0, 0.0, 90.0, 0.000, 0.000
[DBG] 1748589877221, 3, 0.00, 0.0, 800, 0.0, 0.0, 0.0, 0.0, 0.0, 0, 0, 0.0, 0.0, 90.0, 0.000, 0.000
[DBG] 1748589877276, 3, 0.00, 0.0, 800, 0.0, 0.0, 0.0, 0.0, 0.0, 0, 0, 0.0, 0.0, 90.0, 0.000, 0.000
